Urban pop,Gas Prices,Battery_Value,Disposable income,Sales
-0.817332497,-0.469306931,-1.19E+00,-9.30E-01,-1.157311562
-1.275395663,-0.013861386,-1.19E+00,-7.55E-01,-1.082767218
-1.036951823,0.897029703,-1.18E+00,-7.23E-01,-0.977411211
-0.800599596,-0.900990099,-1.12E+00,-8.48E-01,-0.835279995
-0.567733389,-0.035643564,-1.12E+00,-6.92E-01,-0.670288513
-0.34114202,1.433663366,-1.04E+00,-5.30E-01,-0.543066165
-0.120128286,1.651485149,-9.31E-01,-2.09E-01,-0.405904572
0.093913407,1.433663366,-8.51E-01,-4.70E-01,-0.353226568
0.305166283,1.168316832,-7.41E-01,-7.99E-02,-0.122636063
0.517116363,-0.671287129,-3.70E-01,3.42E-01,0.10099697
0.729763648,-1.188118812,4.00E-02,4.88E-01,0.372338383
0.942410932,-0.637623762,6.79E-01,7.81E-01,0.806683429
1.156452625,-0.069306931,1.34E+00,1.18E+00,1.382052821
1.370494318,-0.328712871,2.00E+00,1.43E+00,1.767921454
1.583141602,-1.205940594,2.67E+00,2.30E+00,1.717901446